order_id,house_number,road,suburb,state_district,state,postcode,city
920df9815e3d1381dd623afca8095787,4А,улица Маршала Рыбалко,район Щукино,Северо-Западный административный округ,Москва,123060,
8d277afb3f1ff63a1d13612c4a1ae913,4А,улица Маршала Рыбалко,район Щукино,Северо-Западный административный округ,Москва,123060,
007fd29ec3e4fdcf274e4b65f212386e,22,улица Новый Арбат,район Арбат,Центральный административный округ,Москва,115054,
59301dbcca0d5edfe669004b0ea3f6fe,,Дмитровское шоссе,Тимирязевский район,Северный административный округ,Москва,127220,
bf8304d7a8107b8887f845def9036928,,Ленинградский проспект,Аэропорт,Северный административный округ,Москва,125167,район Аэропорт
3a3cf4d9bef417881e1a6944eb15fcda,7/5,улица 8 Марта,Аэропорт,Северный административный округ,Москва,117623,район Аэропорт
4ca09645afc360763972ccb773d1d16f,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
49e940d5d233f6b1adeb9cb34a6b74b0,,улица Комдива Орлова,Марфино,Северо-Восточный административный округ,Москва,127106,район Марфино
822cc8484aabf943386d95137400743c,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
94036656a7a6e86bde42fb6250a7236c,,улица Семенюка,,,Московская область,141800,городское поселение Дмитров
f8e91855b02849e92a0856e0a9a6d831,12,улица Сущёвский Вал,Марьина Роща,Центральный административный округ,Москва,103555,район Марьина Роща
808fa88637443660ecf3b63752459bf6,,улица Комдива Орлова,Марфино,Северо-Восточный административный округ,Москва,127106,район Марфино
e58612e29da9d37bc90a9afc12f3ec55,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
ef4df5d54b962362728ea15a3a249438,36/18,Шарикоподшипниковская улица,Южнопортовый район,Юго-Восточный административный округ,Москва,115088,Южнопортовый район
c1476e06de43d425509cbc52799a9de3,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
4802b88a26c1b2e40993fba6be373ace,24,Шарикоподшипниковская улица,Южнопортовый район,Юго-Восточный административный округ,Москва,115088,Южнопортовый район
57bf670395c1fcf282beb8fb0461aa8e,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
3bc03311647e25f4888ff012458b20c3,27 с1,улица Покровка,Басманный район,Центральный административный округ,Москва,115054,
118c0dd94c38607083bd7b6df0b824cb,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
2030d37e6ba6b4c2d0959b395d3f20e1,12,Большая Никитская улица,Тверской район,Центральный административный округ,Москва,115054,
3e82e0aabe9e33e9af26ff6fcf2ef5aa,3Б с6,Электролитный проезд,Нагорный,Южный административный округ,Москва,115230,Нагорный район
a714bdeb3ec60a90f766302f1fdc14b4,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
7c64124bc7f7e4ae2d64938d4639cf19,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
ac4c90d2da499f0369b37b166a6ec92c,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
410e5eadd3fb53e37979f7af4bba16a9,14 с6,Красноказарменная улица,район Лефортово,Юго-Восточный административный округ,Москва,111024,
eaa037050b4669f6d9b0a26d700f824e,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
5afb85f3b97104b6cb3f88db50528924,14 с6,Красноказарменная улица,район Лефортово,Юго-Восточный административный округ,Москва,111024,
d25d8e3d3485ef21ea380d0d555ea633,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
9a85854cd2592a824e5d15d5d1e6564e,14 с4,Красноказарменная улица,район Лефортово,Юго-Восточный административный округ,Москва,111024,
c6e5fb5c6b541a0fc0cdf93c0325ab90,37А к14,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
19e7d7bfba1bc216500f3ec10d22555f,6,улица Черняховского,Аэропорт,Северный административный округ,Москва,125319,район Аэропорт
360dc34cbc0ed7fe1298cb41d602ed6b,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
72f9d538f39796ff1d7985d481eb8fe7,6,улица Черняховского,Аэропорт,Северный административный округ,Москва,125319,район Аэропорт
635cb46507d28e59bc58c4ed503f7dca,39 с79,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
839494701bc72ec099d3d6815f441f3a,3,улица Ивана Бабушкина,Академический,Юго-Западный административный округ,Москва,117292,Академический район
15c0ffec9b87524501e074818228cd7d,3,улица Ивана Бабушкина,Академический,Юго-Западный административный округ,Москва,117292,Академический район
b7949f671fda21f8fa70d3856e8fa0a6,,,,Северный административный округ,Москва,125167,район Аэропорт
796e1ee3c739036683660d99eef7a002,36,улица Удальцова,Проспект Вернадского,Западный административный округ,Москва,119607,район Проспект Вернадского
f2a605a76b646d0e49f443312ee6880f,13 к2,Бирюлёвская улица,район Бирюлёво Восточное,Южный административный округ,Москва,115569,
0ac09b77a81dca9760cd0ae0db067c53,13 к2,Бирюлёвская улица,район Бирюлёво Восточное,Южный административный округ,Москва,115569,
352c178f2ff4bbdf8a118ca72cdf48d3,36,улица Удальцова,Проспект Вернадского,Западный административный округ,Москва,119607,район Проспект Вернадского
3a8d9eefd48896f22e98c7c76e64fc3a,13 к2,Бирюлёвская улица,район Бирюлёво Восточное,Южный административный округ,Москва,115569,
84f2506a57a77ccad90d337d62a60e6f,13 к2,Бирюлёвская улица,район Бирюлёво Восточное,Южный административный округ,Москва,115569,
d8c0c4bcd730aa708490d0b4e2ebbf7f,36,улица Удальцова,Проспект Вернадского,Западный административный округ,Москва,119607,район Проспект Вернадского
bc2ea42f5bbe8e675620e5de518f654b,4,Михневская улица,район Бирюлёво Восточное,Южный административный округ,Москва,115547,
818840f8f8db805c87b972223fcd8845,13 к2,Бирюлёвская улица,район Бирюлёво Восточное,Южный административный округ,Москва,115569,
f1063d87aac3d34c9f8fdb1230db1df0,36,улица Удальцова,Проспект Вернадского,Западный административный округ,Москва,119607,район Проспект Вернадского
fe443e733e67e185eb6e5b446161f010,13 к2,Бирюлёвская улица,район Бирюлёво Восточное,Южный административный округ,Москва,115569,
b23e0ef86fede70068795b6f6258bac0,13 к2,Бирюлёвская улица,район Бирюлёво Восточное,Южный административный округ,Москва,115569,
d190aa343195fa29196c013177b5f17c,36,улица Удальцова,Проспект Вернадского,Западный административный округ,Москва,119607,район Проспект Вернадского
37bc54a0748fa236ac2699b6025d8a62,4,Михневская улица,район Бирюлёво Восточное,Южный административный округ,Москва,115547,
037e9ebe9e0994c340a51d218008c829,13 к2,Бирюлёвская улица,район Бирюлёво Восточное,Южный административный округ,Москва,115569,
87d56189d36cacbfe50d5e66847b49a3,36,улица Удальцова,Проспект Вернадского,Западный административный округ,Москва,119607,район Проспект Вернадского
996c78b017ad398c0c7bfb85394356c4,13 к2,Бирюлёвская улица,район Бирюлёво Восточное,Южный административный округ,Москва,115569,
f8c23062c86f7aa9ba65b3029ebc48e1,59 с4,Кантемировская улица,район Царицыно,Южный административный округ,Москва,115569,
7139eac7ea4722e20ba30a007fc0bba4,4,Михневская улица,район Бирюлёво Восточное,Южный административный округ,Москва,115547,
a47b7c45dd8b1f579e9c5effa20cefbd,13 к2,Бирюлёвская улица,район Бирюлёво Восточное,Южный административный округ,Москва,115569,
7855aacbfaa1e5d8759b081a92c69267,36,улица Удальцова,Проспект Вернадского,Западный административный округ,Москва,119607,район Проспект Вернадского
b39c4d0b3854577c9e2074bf3434e937,10 к1,улица Алабяна,Сокол,Северный административный округ,Москва,125167,район Сокол
a9996c9b110642e0ae88bb950ac59270,17,улица Мельникова,Южнопортовый район,Центральный административный округ,Москва,109044,Южнопортовый район
f0834367615f4e26508ac8092cf9bac4,3,Протопоповский переулок,Мещанский район,Центральный административный округ,Москва,129090,
05eed184aee44181b2347aaca5770854,24/30А,улица Земляной Вал,Басманный район,Центральный административный округ,Москва,115054,
b2c501a71966a057805d179296175f2d,17,улица Мельникова,Южнопортовый район,Центральный административный округ,Москва,109044,Южнопортовый район
2171ba6c182ffec8520ab632f35d0106,12/20,Токмаков переулок,Басманный район,Центральный административный округ,Москва,105066,
65cf0b831cbfc622908385f327d5d575,8 с5,Садовая-Черногрязская улица,Басманный район,Центральный административный округ,Москва,115054,
e5d827ed189fe14d2c48dc9da5827a3f,17,улица Мельникова,Южнопортовый район,Центральный административный округ,Москва,109044,Южнопортовый район
f6a1ae937b8ddf3fe130250887213c30,8,Автозаводская улица,,Южный административный округ,Москва,115280,Даниловский район
176e2799ce42d07249b1e35305292669,10,6-я Кожуховская улица,Кожухово,Юго-Восточный административный округ,Москва,115193,Южнопортовый район
c59947b9219b7a6c9692de1966cc1838,1/2,улица Руставели,Бутырский,Северо-Восточный административный округ,Москва,127254,Бутырский район
917fb5aaec67e2b94a506c503994dce9,,,Хорошёвский район,Северный административный округ,Москва,125167,
3af62b1454784b034c3988ddbb6883ea,29,улица Земляной Вал,Басманный район,Центральный административный округ,Москва,121357,
3d731fee5ea04bdd0d1cb0c391d22f4d,1/2,улица Руставели,Бутырский,Северо-Восточный административный округ,Москва,127254,Бутырский район
19e82598a9f2f8bdddc0c069ebd2c010,1/2,улица Руставели,Бутырский,Северо-Восточный административный округ,Москва,127254,Бутырский район
afb0a02877eeaf37e2ffa416cb1639b0,39 с79,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
d30b71b5a1a84d6c46460dfe4ad31fdc,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
15cc6411e965ffb143c8e33981083d1e,37А к14,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
857f7aaeba9fcb29fe187d952d8c1d36,9 к3,проспект Ракетостроителей,Лихачёво,,Московская область,141707,Долгопрудный
b3ec0a1562bf6d678a6fb238691a9f9e,37А к14,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
30fc7b0a6974660400691eb484829812,37А к14,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
281a710c9da3d8fb901dd0fea4836478,9 к3,проспект Ракетостроителей,Лихачёво,,Московская область,141707,Долгопрудный
c66d0f227e72e2e787002fa09e89751e,37А к14,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
74684621a35c3dc3586efe5be7d388a7,11,Дирижабельная улица,Водники,,Московская область,141707,Долгопрудный
352fe377ff43296f5b90180475579835,37А к14,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
c693f1bb190c988e47dae6c494c2c3d0,9 к3,проспект Ракетостроителей,Лихачёво,,Московская область,141707,Долгопрудный
372b970b9d368cd866e243fe0ae1d788,37А к14,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
77d764b0be1f76a2aadec74924b2f0b8,29,улица Земляной Вал,Басманный район,Центральный административный округ,Москва,121357,
45265fb48339b0979e6dc6785d98ec5e,9 к3,проспект Ракетостроителей,Лихачёво,,Московская область,141707,Долгопрудный
cb56f52331169df654403ae31b3eeb00,2,Большая Дорогомиловская улица,,Западный административный округ,Москва,121248,район Дорогомилово
7dcb33285b110e28beb09c1396b0bca6,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
e2c9b6b31da07d82ca0d278dd720a5f7,,улица Германа Титова,Родионово,,Московская область,141400,Химки
23c4f1f591a50c9b8a9b184111318d67,,Ленинградское шоссе,Родионово,,Московская область,141410,Химки
e4d6eff56dd6f610db23fd202afd8359,8,3-й Сетуньский проезд,район Раменки,Западный административный округ,Москва,119136,
e2ab4f88030e2d936c1e2c07fe719d12,39,улица Михайлова,Рязанский район,Юго-Восточный административный округ,Москва,109428,
ebebf27973117cf7273dfa85c24d2933,39 с79,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
dca41bc105a530c5cbc89fc01e40b853,37А к14,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
b8dea6fc1831d05e6f6aa29111995b31,14 к1,Утренняя улица,Новогиреево,Восточный административный округ,Москва,111394,район Новогиреево
f1df493e28eb10f0b81b61ce294bce36,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
e86a70873cdf417ae1d0492603900720,,Трудовая аллея,Аэропорт,Северный административный округ,Москва,125167,район Аэропорт
99b36089e2eda6f18d330625275f62fa,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
58c491c971d4c35f422697506a9e5dd1,,Трудовая аллея,Аэропорт,Северный административный округ,Москва,125167,район Аэропорт
24c350bb77943271018bead4daa0f3db,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
d4131284abde7dbc405018b4df24ddbb,38 с1,улица Пресненский Вал,Пресненский район,Центральный административный округ,Москва,123557,
f91db7f078cdbe7582dd3e978260f6be,3 к2,Сочинская улица,Люберецкие поля,Юго-Восточный административный округ,Москва,140009,район Некрасовка
956def7638655cc78c327ee7ac108d8f,,,Люберецкие поля,Юго-Восточный административный округ,Москва,143988,район Некрасовка
feb64c6f5dadff2daa08f1d3f7087acf,,,Люберецкие поля,Юго-Восточный административный округ,Москва,143988,район Некрасовка
bb55acb24c195aacc53f6d02f7265936,1А,Святоозёрская улица,Кожухово,Восточный административный округ,Москва,111625,район Косино-Ухтомский
772e8ff43a2809e614a0d43ced09bdd1,,,Люберецкие поля,Юго-Восточный административный округ,Москва,143988,район Некрасовка
75746d80a472079f2bfcd698d1cd25d5,,,Люберецкие поля,Юго-Восточный административный округ,Москва,143988,район Некрасовка
4d260c6f019058627453b23de9e97052,25,,Люберецкие поля,Юго-Восточный административный округ,Москва,111674,район Некрасовка
b3c2d411a1238bde01753ad686606c2e,,,Люберецкие поля,Юго-Восточный административный округ,Москва,143988,район Некрасовка
678239a5b0daca218adfcf326e6270be,2,улица Недорубова,Люберецкие поля,Юго-Восточный административный округ,Москва,140009,район Некрасовка
d23fba910b0168c27b7a6e6b0cfc1815,,,Люберецкие поля,Юго-Восточный административный округ,Москва,143988,район Некрасовка
e5f8e30e1748a7273d607078e49ba2cb,,,Люберецкие поля,Юго-Восточный административный округ,Москва,143988,район Некрасовка
bc070c54e84e92050315893438b0a3ce,31/18 к2,проспект 60-летия Октября,Академический,Юго-Западный административный округ,Москва,117036,Академический район
9aceaa823d07f852163e301fdd84282b,31/18 к2,проспект 60-летия Октября,Академический,Юго-Западный административный округ,Москва,117036,Академический район
6c2f783a901c0c9335a68e1bd5ce0232,22 с1,Пятницкая улица,район Замоскворечье,Центральный административный округ,Москва,115054,
4f4548bc0eccbc3b5b5d6cb9e566516a,31/18 к2,проспект 60-летия Октября,Академический,Юго-Западный административный округ,Москва,117036,Академический район
0b39dae0f069adf48f5d14adb5057199,13,улица Гоголя,,,Московская область,140070,
a049f3c52923219ddd8506075f1b5e1c,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
1486aa0fdbd8e955937e1d9546d575ec,44 к2,Дмитровское шоссе,Тимирязевский район,Северный административный округ,Москва,127238,
157fd5143cdcd6b10a7429b1992b27e1,,Никольский тупик,Войковский,Северный административный округ,Москва,125367,Войковский район
1bef7e8384ea64f904437d528de2b51e,,Никольский тупик,Войковский,Северный административный округ,Москва,125367,Войковский район
418b118cc343785076620384cb141102,6-8 с5,Яузская улица,Таганский район,Центральный административный округ,Москва,109240,
1b196dd1f519af68e84a42dc5a4ec85f,5 к1,Чапаевский переулок,Сокол,Северный административный округ,Москва,125167,район Сокол
228fe2e9eaec233333321e35126e4722,2 с28,улица Саляма Адиля,район Хорошёво-Мнёвники,Северо-Западный административный округ,Москва,123423,
ae10f584fcc55543c027823951d213cf,23 к2,улица Куусинена,Сокол,Северный административный округ,Москва,125167,район Сокол
d6781ec8accfc91933a9048f2cdded2f,,,район Крюково,Зеленоградский административный округ,Москва,124683,
a4b469ea1fa0a614fcc505e386724e81,1,Заводская улица,район Крюково,Зеленоградский административный округ,Москва,124482,
094122c8c34e34fcacf26d70c9d86f01,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
1a4ce26239a808521ae0cbf2125ea8d0,,,район Крюково,Зеленоградский административный округ,Москва,124683,
da443900e340a1455667722c61368d4e,,Георгиевский проспект,район Крюково,Зеленоградский административный округ,Москва,124482,
784955cbfda1328615d97da2a6686920,,,район Крюково,Зеленоградский административный округ,Москва,124683,
c25a4c569ca6c5cc1f6eead5391a9046,,Георгиевский проспект,район Крюково,Зеленоградский административный округ,Москва,124482,
2a2c1ea7fe70f28fc5548583988f252a,,,район Крюково,Зеленоградский административный округ,Москва,124683,
505fd2a5f0868e8a34ed015a9878199d,1,Крюковская площадь,ЦИЭ,Зеленоградский административный округ,Москва,124575,Зеленоград
5dba850fbed35a553af1aa4b010b2c63,,Жилинская улица,Высокое,,Московская область,141551,
064df01f49c73b5e5b9247e2ed6173d3,,,район Крюково,Зеленоградский административный округ,Москва,124683,
ef19b52a1461d899cb52128faf65f85d,5,Комсомольская площадь,Красносельский район,Центральный административный округ,Москва,107140,
7b40cf9854b374482f2cec64207a4a62,2,улица Стефановского,Чкаловский,,Московская область,141103,Щёлково
ab3e3b6c867cb9ec2fef98565dea64ff,5 к1,Беговая аллея,Беговой,Северный административный округ,Москва,125284,район Беговой
e200042b48384864052de6882cea70c9,5 к1,Беговая аллея,Беговой,Северный административный округ,Москва,125284,район Беговой
ef738cc6efa36074b64c3f71ac55be37,26 с1,Новорязанская улица,Басманный район,Центральный административный округ,Москва,105094,
5a7d6d9b05b46c13540a7a6ad6be474d,39 с14,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
bd970fdd0ee9f8d002db45a763d3b607,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
35f7230ecdb8460474f0d1cfb67d4965,22,Фабричная улица,Красный Октябрь,,Московская область,140104,городское поселение Раменское
7f7da9f27d93854972053299cf45f306,6 к3,Балтийская улица,Сокол,Северный административный округ,Москва,125167,район Сокол
25b2e4cec43c8ee5b09ecd54b48a7a2d,,,Сокольники,Восточный административный округ,Москва,107113,район Сокольники
ebc4119b2ffd0a7a0a8a27240893349e,11,Мясницкая улица,Красносельский район,Центральный административный округ,Москва,115054,
f0ef2d701ea58b85496af886e9e81269,6 к3,Балтийская улица,Сокол,Северный административный округ,Москва,125167,район Сокол
0695ac1dce1b24bb4515aba6595afc3a,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
9ae1152ace537b85f1008e51e7cf5f0c,6 к3,Балтийская улица,Сокол,Северный административный округ,Москва,125167,район Сокол
de1f9ab652914103c2ec50cbb50d22f6,5/6,Тверская улица,Тверской район,Центральный административный округ,Москва,125009,
af0b4113247d07a9b8df697aae5216fe,6 к3,Балтийская улица,Сокол,Северный административный округ,Москва,125167,район Сокол
3773c3fb9090433dd6b0cd07f1080572,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
061ec354700c0ea79e857bdf4bcf12ea,19,Тверская улица,Тверской район,Центральный административный округ,Москва,127006,
7afc5fe2ec513cd372f648d2687b073a,6 к3,Балтийская улица,Сокол,Северный административный округ,Москва,125167,район Сокол
6d772ff8c5ad123dbf6277711a0eaf23,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
89db0f7ff79c633d908dad02d39e2c92,6 к3,Балтийская улица,Сокол,Северный административный округ,Москва,125167,район Сокол
3fb004a8eb3e923629ebd188e04ea785,10 с3,Нижняя Радищевская улица,Таганский район,Центральный административный округ,Москва,109240,
0e341eb5c5f5d69e372ad9f941c331a7,2,улица Маковского,,,Московская область,143006,Одинцовский район
18ed60f6b3163ba6eaea015ddccec4fe,50,Ленинградский проспект,Аэропорт,Северный административный округ,Москва,125167,район Аэропорт
2cd95162ce754d429a6122f83899955d,37А к4,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
1f49ecbf679750b47e9648ef18581e75,39 с79,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
2d3822f379a56d59a72d2e0ca639cbfe,37А к4,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
09461c4c71a8255f38a9166e54857f45,2/22,Ленинградский проспект,Беговой,Северный административный округ,Москва,125167,район Беговой
b74bd5f1e19af1e22d3472946721eb9d,18,Большой Овчинниковский переулок,район Замоскворечье,Центральный административный округ,Москва,115054,
b6a5c22852c2ba0661722200b347e6fa,39 с79,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
8065ae1775ee7a19e43e65019344ed7d,37А к4,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
7e04aede5c92898700f2b9b46669cfd8,4 к1,улица Демьяна Бедного,район Хорошёво-Мнёвники,Северо-Западный административный округ,Москва,123103,
79ad3cae7ff402a0a57ebbf418f44e68,10,улица Гиляровского,Мещанский район,Центральный административный округ,Москва,129090,
f52fbd9705f625e708e171e458f01ad2,37А к4,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
83e5a174128f52691e30ccbcb5c835fc,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
adceede39e00b09432e2265090cf251a,2/22,Ленинградский проспект,Беговой,Северный административный округ,Москва,125167,район Беговой
90df3193889882d11da822550ab4afc6,76А,Можайское шоссе,Микрорайон Кутузовский,,Московская область,143005,Одинцовский район
3d5ee8ef2c5b8f723ea801872315a821,,Железнодорожная улица,,,Московская область,143000,Одинцовский район
ec5b20003b28de4bf7d6fb94d8b066e5,37А к14,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
7b4aadfd245d8af7e05ab0b9722fb8f8,13,3-й Монетчиковский переулок,район Замоскворечье,Центральный административный округ,Москва,115054,
23691cbb90f94819902c1f996efbf70f,37А к14,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
7f5e1d8cb9dc0779c3473ced5f7cd7c7,,"МКАД, 19-й километр",,Южный административный округ,Москва,115408,район Братеево
4e22bbddea5305b07415dd5f733a3f0a,37А к14,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
1c5150dde8715e26468d1f83d55ce876,13,3-й Монетчиковский переулок,район Замоскворечье,Центральный административный округ,Москва,115054,
fb2d1854d3a8e6b4fba59d6d9201fc45,13,3-й Монетчиковский переулок,район Замоскворечье,Центральный административный округ,Москва,115054,
4399de3b655599ba1476b810878bf930,63,Щёлковское шоссе,,Восточный административный округ,Москва,105122,район Гольяново
bfd1639541b47a595c24bff511fdf572,13,3-й Монетчиковский переулок,район Замоскворечье,Центральный административный округ,Москва,115054,
fbe4c9228ae8dd662d8fd6b4f2b4ad30,39 с79,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
46aa2c2046a35595cce25bd458cfdb87,,улица Крымский Вал,район Якиманка,Центральный административный округ,Москва,119049,
fd2aa24d99c5ba0cdc32ebd37cf5fb87,37А к14,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
90b78e72c954dac5fae5f2e4ab5e3a43,1 к3,улица Талалихина,Таганский район,Центральный административный округ,Москва,109029,
faa9db75067a4a8e6d1392ca780218f1,3 с66,Михайловский проезд,Таганский район,Центральный административный округ,Москва,109029,
22d47b80533ab9c6a0ce4f03a274a35a,18 к7,проспект Андропова,,Южный административный округ,Москва,115114,Даниловский район
76599a3bb02bed6fc698e37acccfb086,1 к3,улица Талалихина,Таганский район,Центральный административный округ,Москва,109029,
